DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4)
-23.4848E-12,-500.0000E-3,4.6579E-12,-7.0000E+0,-12.3659E-12,-9.2390E+0,-31.0183E-12,-1.0000E+0,9.2363E-12,-7.0000E+0,-2.8197E-12,-9.2390E+0,-44.4860E-12,-1.5000E+0,11.7799E-12,-7.0000E+0,208.1113E-15,-9.2390E+0,-81.6484E-12,-2.0000E+0,10.5929E-12,-7.0000E+0,-8.5390E-12,-9.2390E+0
-19.3604E-12,-500.0000E-3,5.9297E-12,-7.0000E+0,-7.1092E-12,-9.1630E+0,-29.5453E-12,-1.0000E+0,12.2037E-12,-7.0000E+0,2.5631E-12,-9.1630E+0,-44.3177E-12,-1.5000E+0,12.8397E-12,-7.0000E+0,-5.4270E-12,-9.1630E+0,-78.6182E-12,-2.0000E+0,11.5255E-12,-7.0000E+0,-6.8148E-12,-9.1630E+0
-14.0154E-12,-500.0000E-3,6.0568E-12,-7.0000E+0,-7.6979E-12,-9.0870E+0,-30.0924E-12,-1.0000E+0,8.9395E-12,-7.0000E+0,7.1469E-12,-9.0870E+0,-46.2536E-12,-1.5000E+0,13.0092E-12,-7.0000E+0,-5.6373E-12,-9.0870E+0,-79.7545E-12,-2.0000E+0,10.8472E-12,-7.0000E+0,-2.3571E-12,-9.0870E+0
-18.6028E-12,-500.0000E-3,4.9546E-12,-7.0000E+0,-8.1605E-12,-9.0110E+0,-26.9359E-12,-1.0000E+0,10.1689E-12,-7.0000E+0,7.6936E-12,-9.0110E+0,-44.4860E-12,-1.5000E+0,10.6776E-12,-7.0000E+0,1.0492E-12,-9.0110E+0,-84.4682E-12,-2.0000E+0,10.2537E-12,-7.0000E+0,-3.8710E-12,-9.0110E+0
-22.2643E-12,-500.0000E-3,4.7002E-12,-7.0000E+0,-5.7635E-12,-8.9350E+0,-27.2305E-12,-1.0000E+0,10.9744E-12,-7.0000E+0,5.6330E-12,-8.9350E+0,-48.9893E-12,-1.5000E+0,12.4157E-12,-7.0000E+0,-3.1561E-12,-8.9350E+0,-71.7581E-12,-2.0000E+0,9.1939E-12,-7.0000E+0,-7.3194E-12,-8.9350E+0
-28.6615E-12,-500.0000E-3,6.5655E-12,-7.0000E+0,-5.7635E-12,-8.8585E+0,-29.0823E-12,-1.0000E+0,9.7874E-12,-7.0000E+0,-1.6842E-12,-8.8585E+0,-48.0634E-12,-1.5000E+0,11.3983E-12,-7.0000E+0,-506.7891E-15,-8.8585E+0,-77.1872E-12,-2.0000E+0,10.8048E-12,-7.0000E+0,-2.9459E-12,-8.8585E+0
-29.9241E-12,-500.0000E-3,6.8199E-12,-7.0000E+0,-6.9830E-12,-8.7825E+0,-36.4054E-12,-1.0000E+0,9.2786E-12,-7.0000E+0,-2.1510E-15,-8.7825E+0,-51.3882E-12,-1.5000E+0,11.1016E-12,-7.0000E+0,-1.3478E-12,-8.7825E+0,-79.1232E-12,-2.0000E+0,10.7200E-12,-7.0000E+0,-4.8803E-12,-8.7825E+0
-31.1025E-12,-500.0000E-3,5.6329E-12,-7.0000E+0,-3.1982E-12,-8.7065E+0,-31.5655E-12,-1.0000E+0,9.9993E-12,-7.0000E+0,1.8482E-12,-8.7065E+0,-52.5245E-12,-1.5000E+0,12.9244E-12,-7.0000E+0,1.9743E-12,-8.7065E+0,-80.5542E-12,-2.0000E+0,10.8472E-12,-7.0000E+0,-3.6187E-12,-8.7065E+0
-25.2946E-12,-500.0000E-3,5.2938E-12,-7.0000E+0,-3.4505E-12,-8.6305E+0,-37.7943E-12,-1.0000E+0,9.4906E-12,-7.0000E+0,1.4697E-12,-8.6305E+0,-53.0717E-12,-1.5000E+0,11.7375E-12,-7.0000E+0,2.8575E-12,-8.6305E+0,-77.2293E-12,-2.0000E+0,10.6776E-12,-7.0000E+0,-11.9033E-12,-8.6305E+0
-29.4611E-12,-500.0000E-3,8.1341E-12,-7.0000E+0,670.6996E-15,-8.5545E+0,-34.5536E-12,-1.0000E+0,9.9993E-12,-7.0000E+0,5.0022E-12,-8.5545E+0,-48.8209E-12,-1.5000E+0,9.9993E-12,-7.0000E+0,1.5538E-12,-8.5545E+0,-73.5257E-12,-2.0000E+0,8.6852E-12,-7.0000E+0,-7.6138E-12,-8.5545E+0
-23.6953E-12,-500.0000E-3,6.2264E-12,-7.0000E+0,-9.9267E-12,-8.4785E+0,-29.5453E-12,-1.0000E+0,9.9569E-12,-7.0000E+0,712.7771E-15,-8.4785E+0,-41.2874E-12,-1.5000E+0,12.7549E-12,-7.0000E+0,-6.1419E-12,-8.4785E+0,-77.3977E-12,-2.0000E+0,10.1265E-12,-7.0000E+0,-4.9224E-12,-8.4785E+0
-24.5791E-12,-500.0000E-3,5.4634E-12,-7.0000E+0,-8.1184E-12,-8.4020E+0,-31.8180E-12,-1.0000E+0,9.8722E-12,-7.0000E+0,-464.7394E-15,-8.4020E+0,-60.1422E-12,-1.5000E+0,12.1614E-12,-7.0000E+0,1.3015E-12,-8.4020E+0,-73.9887E-12,-2.0000E+0,9.8298E-12,-7.0000E+0,-8.7072E-12,-8.4020E+0
-22.4327E-12,-500.0000E-3,7.0319E-12,-7.0000E+0,-3.4505E-12,-8.3260E+0,-34.3432E-12,-1.0000E+0,11.7799E-12,-7.0000E+0,965.0891E-15,-8.3260E+0,-53.1137E-12,-1.5000E+0,10.1689E-12,-7.0000E+0,-3.3664E-12,-8.3260E+0,-82.9110E-12,-2.0000E+0,9.3635E-12,-7.0000E+0,-11.1043E-12,-8.3260E+0
-22.3485E-12,-500.0000E-3,6.1416E-12,-7.0000E+0,880.9897E-15,-8.2500E+0,-36.8684E-12,-1.0000E+0,10.5929E-12,-7.0000E+0,3.8667E-12,-8.2500E+0,-48.4001E-12,-1.5000E+0,12.6700E-12,-7.0000E+0,-6.3101E-12,-8.2500E+0,-83.1635E-12,-2.0000E+0,9.2363E-12,-7.0000E+0,-3.9131E-12,-8.2500E+0
-24.7474E-12,-500.0000E-3,6.0144E-12,-7.0000E+0,-9.7165E-12,-8.1740E+0,-34.5536E-12,-1.0000E+0,9.4058E-12,-7.0000E+0,6.2217E-12,-8.1740E+0,-47.9792E-12,-1.5000E+0,10.7624E-12,-7.0000E+0,-8.1184E-12,-8.1740E+0,-86.9934E-12,-2.0000E+0,10.3809E-12,-7.0000E+0,-3.8710E-12,-8.1740E+0
-25.6313E-12,-500.0000E-3,7.0742E-12,-7.0000E+0,-4.1234E-12,-8.0980E+0,-34.6799E-12,-1.0000E+0,12.6700E-12,-7.0000E+0,-6.6045E-12,-8.0980E+0,-47.6846E-12,-1.5000E+0,9.3635E-12,-7.0000E+0,-2.8617E-12,-8.0980E+0,-91.8333E-12,-2.0000E+0,9.4483E-12,-7.0000E+0,-8.0764E-12,-8.0980E+0
-19.1920E-12,-500.0000E-3,7.0319E-12,-7.0000E+0,-4.4598E-12,-8.0215E+0,-31.8601E-12,-1.0000E+0,11.6950E-12,-7.0000E+0,4.7919E-12,-8.0215E+0,-51.3882E-12,-1.5000E+0,12.8397E-12,-7.0000E+0,-885.2780E-15,-8.0215E+0,-83.2477E-12,-2.0000E+0,9.4906E-12,-7.0000E+0,-8.9595E-12,-8.0215E+0
-20.7913E-12,-500.0000E-3,7.4558E-12,-7.0000E+0,-2.9459E-12,-7.9455E+0,-32.4914E-12,-1.0000E+0,9.5755E-12,-7.0000E+0,-1.1376E-12,-7.9455E+0,-43.4338E-12,-1.5000E+0,11.6950E-12,-7.0000E+0,1.0492E-12,-7.9455E+0,-92.0859E-12,-2.0000E+0,9.9993E-12,-7.0000E+0,-4.9224E-12,-7.9455E+0
-28.1144E-12,-500.0000E-3,7.4134E-12,-7.0000E+0,-7.4456E-12,-7.8695E+0,-35.6058E-12,-1.0000E+0,10.7624E-12,-7.0000E+0,1.1333E-12,-7.8695E+0,-46.4641E-12,-1.5000E+0,10.5080E-12,-7.0000E+0,-2.1468E-12,-7.8695E+0,-88.9714E-12,-2.0000E+0,8.8548E-12,-7.0000E+0,-4.9224E-12,-7.8695E+0
-19.0237E-12,-500.0000E-3,6.0144E-12,-7.0000E+0,-3.0720E-12,-7.7935E+0,-33.9223E-12,-1.0000E+0,12.2462E-12,-7.0000E+0,3.0677E-12,-7.7935E+0,-47.5583E-12,-1.5000E+0,11.8222E-12,-7.0000E+0,-10.0950E-12,-7.7935E+0,-98.1463E-12,-2.0000E+0,8.6428E-12,-7.0000E+0,-212.4134E-15,-7.7935E+0
-21.1280E-12,-500.0000E-3,6.3960E-12,-7.0000E+0,-422.6758E-15,-7.7175E+0,-35.9425E-12,-1.0000E+0,9.1091E-12,-7.0000E+0,-1.7684E-12,-7.7175E+0,-53.3663E-12,-1.5000E+0,10.9744E-12,-7.0000E+0,-2.7776E-12,-7.7175E+0,-101.8500E-12,-2.0000E+0,9.9993E-12,-7.0000E+0,6.0956E-12,-7.7175E+0
-19.6971E-12,-500.0000E-3,5.9297E-12,-7.0000E+0,-3.8710E-12,-7.6415E+0,-33.3752E-12,-1.0000E+0,10.6352E-12,-7.0000E+0,-4.2916E-12,-7.6415E+0,-52.4824E-12,-1.5000E+0,11.7799E-12,-7.0000E+0,-5.8476E-12,-7.6415E+0,-94.0218E-12,-2.0000E+0,9.0243E-12,-7.0000E+0,-1.6842E-12,-7.6415E+0
-22.9377E-12,-500.0000E-3,7.4982E-12,-7.0000E+0,2.0584E-12,-7.5650E+0,-33.3752E-12,-1.0000E+0,10.8896E-12,-7.0000E+0,-2.1468E-12,-7.5650E+0,-51.9774E-12,-1.5000E+0,11.1863E-12,-7.0000E+0,-7.0671E-12,-7.5650E+0,-94.3164E-12,-2.0000E+0,7.3286E-12,-7.0000E+0,-3.9551E-12,-7.5650E+0
-28.9561E-12,-500.0000E-3,7.0319E-12,-7.0000E+0,-2.7776E-12,-7.4890E+0,-35.1007E-12,-1.0000E+0,9.8298E-12,-7.0000E+0,-1.9786E-12,-7.4890E+0,-47.3900E-12,-1.5000E+0,10.0418E-12,-7.0000E+0,-3.8290E-12,-7.4890E+0,-98.8197E-12,-2.0000E+0,9.8722E-12,-7.0000E+0,-1.6842E-12,-7.4890E+0
-16.7089E-12,-500.0000E-3,7.0742E-12,-7.0000E+0,2.9836E-12,-7.4130E+0,-33.2910E-12,-1.0000E+0,8.9395E-12,-7.0000E+0,-6.6886E-12,-7.4130E+0,-50.5886E-12,-1.5000E+0,11.6527E-12,-7.0000E+0,-3.7869E-12,-7.4130E+0,-98.5251E-12,-2.0000E+0,8.9819E-12,-7.0000E+0,-3.3664E-12,-7.4130E+0
-19.8654E-12,-500.0000E-3,5.3362E-12,-7.0000E+0,2.1846E-12,-7.3370E+0,-35.2691E-12,-1.0000E+0,10.2113E-12,-7.0000E+0,-5.5532E-12,-7.3370E+0,-52.7350E-12,-1.5000E+0,14.1538E-12,-7.0000E+0,-2.0627E-12,-7.3370E+0,-100.5874E-12,-2.0000E+0,8.8123E-12,-7.0000E+0,-8.6652E-12,-7.3370E+0
-24.9158E-12,-500.0000E-3,5.8025E-12,-7.0000E+0,1.5538E-12,-7.2610E+0,-37.1209E-12,-1.0000E+0,9.3210E-12,-7.0000E+0,-1.1796E-12,-7.2610E+0,-55.3443E-12,-1.5000E+0,11.1439E-12,-7.0000E+0,-5.3850E-12,-7.2610E+0,-101.6395E-12,-2.0000E+0,10.0418E-12,-7.0000E+0,-5.9317E-12,-7.2610E+0
-22.5169E-12,-500.0000E-3,6.7351E-12,-7.0000E+0,-3.6608E-12,-7.1850E+0,-39.7723E-12,-1.0000E+0,8.5580E-12,-7.0000E+0,-5.3429E-12,-7.1850E+0,-61.2785E-12,-1.5000E+0,10.7624E-12,-7.0000E+0,-2.2309E-12,-7.1850E+0,-106.0586E-12,-2.0000E+0,8.3036E-12,-7.0000E+0,-6.8148E-12,-7.1850E+0
-23.4848E-12,-500.0000E-3,6.6504E-12,-7.0000E+0,-4.1234E-12,-7.1085E+0,-36.3633E-12,-1.0000E+0,10.0841E-12,-7.0000E+0,-6.7307E-12,-7.1085E+0,-57.1961E-12,-1.5000E+0,12.2462E-12,-7.0000E+0,39.8986E-15,-7.1085E+0,-104.5435E-12,-2.0000E+0,7.9645E-12,-7.0000E+0,-6.5204E-12,-7.1085E+0
-23.8636E-12,-500.0000E-3,6.0568E-12,-7.0000E+0,-9.3801E-12,-7.0325E+0,-42.4659E-12,-1.0000E+0,10.3385E-12,-7.0000E+0,-3.4505E-12,-7.0325E+0,-56.1019E-12,-1.5000E+0,9.8722E-12,-7.0000E+0,-4.7542E-12,-7.0325E+0,-107.9946E-12,-2.0000E+0,10.0418E-12,-7.0000E+0,1.2174E-12,-7.0325E+0
-28.4511E-12,-500.0000E-3,8.0493E-12,-7.0000E+0,-9.5483E-12,-6.9565E+0,-43.1813E-12,-1.0000E+0,10.6352E-12,-7.0000E+0,-2.4833E-12,-6.9565E+0,-56.9857E-12,-1.5000E+0,10.8472E-12,-7.0000E+0,-6.0578E-12,-6.9565E+0,-109.3835E-12,-2.0000E+0,7.3710E-12,-7.0000E+0,-128.3140E-15,-6.9565E+0
-24.8316E-12,-500.0000E-3,6.9471E-12,-7.0000E+0,-7.8241E-12,-6.8805E+0,-35.5637E-12,-1.0000E+0,10.9744E-12,-7.0000E+0,1.3435E-12,-6.8805E+0,-58.4587E-12,-1.5000E+0,12.8820E-12,-7.0000E+0,-10.9360E-12,-6.8805E+0,-110.0568E-12,-2.0000E+0,8.5156E-12,-7.0000E+0,1.9743E-12,-6.8805E+0
-21.1280E-12,-500.0000E-3,7.5830E-12,-7.0000E+0,-12.9546E-12,-6.8045E+0,-29.3770E-12,-1.0000E+0,7.2015E-12,-7.0000E+0,-4.5439E-12,-6.8045E+0,-59.7213E-12,-1.5000E+0,11.2288E-12,-7.0000E+0,-3.1141E-12,-6.8045E+0,-115.6543E-12,-2.0000E+0,11.3135E-12,-7.0000E+0,-2.3991E-12,-6.8045E+0
-22.6852E-12,-500.0000E-3,8.2188E-12,-7.0000E+0,-3.4084E-12,-6.7285E+0,-31.0604E-12,-1.0000E+0,9.3210E-12,-7.0000E+0,334.2743E-15,-6.7285E+0,-64.0983E-12,-1.5000E+0,11.0592E-12,-7.0000E+0,-3.6608E-12,-6.7285E+0,-115.4018E-12,-2.0000E+0,9.4058E-12,-7.0000E+0,-4.9644E-12,-6.7285E+0
-25.2946E-12,-500.0000E-3,7.0319E-12,-7.0000E+0,-843.2283E-15,-6.6520E+0,-35.9845E-12,-1.0000E+0,10.3385E-12,-7.0000E+0,460.4372E-15,-6.6520E+0,-68.0965E-12,-1.5000E+0,11.9494E-12,-7.0000E+0,-6.0999E-12,-6.6520E+0,-123.4403E-12,-2.0000E+0,11.4830E-12,-7.0000E+0,-1.1796E-12,-6.6520E+0
-30.3449E-12,-500.0000E-3,6.6079E-12,-7.0000E+0,-3.3243E-12,-6.5760E+0,-28.9140E-12,-1.0000E+0,9.9993E-12,-7.0000E+0,-3.2823E-12,-6.5760E+0,-58.5850E-12,-1.5000E+0,10.6352E-12,-7.0000E+0,2.5631E-12,-6.5760E+0,-115.4439E-12,-2.0000E+0,10.6352E-12,-7.0000E+0,880.9897E-15,-6.5760E+0
-24.9158E-12,-500.0000E-3,8.8548E-12,-7.0000E+0,-2.9879E-12,-6.5000E+0,-38.3835E-12,-1.0000E+0,9.4906E-12,-7.0000E+0,-1.3899E-12,-6.5000E+0,-62.0361E-12,-1.5000E+0,11.5255E-12,-7.0000E+0,-590.8884E-15,-6.5000E+0,-119.2317E-12,-2.0000E+0,10.7624E-12,-7.0000E+0,-590.8884E-15,-6.5000E+0
-18.8132E-12,-500.0000E-3,7.1590E-12,-7.0000E+0,5.0022E-12,-6.4240E+0,-37.7101E-12,-1.0000E+0,9.4058E-12,-7.0000E+0,-128.3140E-15,-6.4240E+0,-65.8239E-12,-1.5000E+0,11.9070E-12,-7.0000E+0,2.8154E-12,-6.4240E+0,-123.9454E-12,-2.0000E+0,9.3210E-12,-7.0000E+0,-3.8710E-12,-6.4240E+0
-28.3248E-12,-500.0000E-3,8.0493E-12,-7.0000E+0,-2.6094E-12,-6.3480E+0,-39.9407E-12,-1.0000E+0,9.1939E-12,-7.0000E+0,-422.6758E-15,-6.3480E+0,-66.2447E-12,-1.5000E+0,10.4233E-12,-7.0000E+0,-6.0578E-12,-6.3480E+0,-132.8677E-12,-2.0000E+0,10.5080E-12,-7.0000E+0,-3.9551E-12,-6.3480E+0
-27.1464E-12,-500.0000E-3,9.2363E-12,-7.0000E+0,1.3435E-12,-6.2715E+0,-40.6982E-12,-1.0000E+0,9.0243E-12,-7.0000E+0,-5.5532E-12,-6.2715E+0,-66.0764E-12,-1.5000E+0,11.3983E-12,-7.0000E+0,-9.0016E-12,-6.2715E+0,-137.1185E-12,-2.0000E+0,9.9993E-12,-7.0000E+0,-3.0300E-12,-6.2715E+0
-27.1043E-12,-500.0000E-3,7.0742E-12,-7.0000E+0,-5.7214E-12,-6.1955E+0,-37.7943E-12,-1.0000E+0,9.6602E-12,-7.0000E+0,-2.1048E-12,-6.1955E+0,-64.0983E-12,-1.5000E+0,11.9070E-12,-7.0000E+0,-2.6935E-12,-6.1955E+0,-135.3508E-12,-2.0000E+0,10.3809E-12,-7.0000E+0,2.4790E-12,-6.1955E+0
-25.2946E-12,-500.0000E-3,6.9047E-12,-7.0000E+0,670.6996E-15,-6.1195E+0,-44.0651E-12,-1.0000E+0,8.3036E-12,-7.0000E+0,-1.4740E-12,-6.1195E+0,-66.3710E-12,-1.5000E+0,11.7375E-12,-7.0000E+0,-8.2446E-12,-6.1195E+0,-138.8861E-12,-2.0000E+0,10.4656E-12,-7.0000E+0,-1.0955E-12,-6.1195E+0
-26.3046E-12,-500.0000E-3,8.1765E-12,-7.0000E+0,-5.5532E-12,-6.0435E+0,-38.8885E-12,-1.0000E+0,9.9146E-12,-7.0000E+0,-6.3522E-12,-6.0435E+0,-65.9501E-12,-1.5000E+0,11.6527E-12,-7.0000E+0,-10.0109E-12,-6.0435E+0,-147.0509E-12,-2.0000E+0,11.4830E-12,-7.0000E+0,3.5303E-12,-6.0435E+0
-21.4647E-12,-500.0000E-3,7.2438E-12,-7.0000E+0,1.3856E-12,-5.9675E+0,-35.6058E-12,-1.0000E+0,11.9918E-12,-7.0000E+0,-1.6842E-12,-5.9675E+0,-62.9199E-12,-1.5000E+0,10.5080E-12,-7.0000E+0,292.2246E-15,-5.9675E+0,-143.5998E-12,-2.0000E+0,11.5255E-12,-7.0000E+0,7.2310E-12,-5.9675E+0
-26.0100E-12,-500.0000E-3,8.9819E-12,-7.0000E+0,334.2743E-15,-5.8915E+0,-37.6680E-12,-1.0000E+0,9.9146E-12,-7.0000E+0,923.0394E-15,-5.8915E+0,-65.8239E-12,-1.5000E+0,10.8896E-12,-7.0000E+0,-6.6886E-12,-5.8915E+0,-145.9987E-12,-2.0000E+0,11.1439E-12,-7.0000E+0,586.6002E-15,-5.8915E+0
-27.2305E-12,-500.0000E-3,8.6428E-12,-7.0000E+0,2.0584E-12,-5.8150E+0,-38.5939E-12,-1.0000E+0,10.4656E-12,-7.0000E+0,-506.7891E-15,-5.8150E+0,-67.2548E-12,-1.5000E+0,9.9993E-12,-7.0000E+0,-11.4407E-12,-5.8150E+0,-153.1955E-12,-2.0000E+0,9.6602E-12,-7.0000E+0,208.1113E-15,-5.8150E+0
-29.9241E-12,-500.0000E-3,8.0069E-12,-7.0000E+0,4.2452E-12,-5.7390E+0,-46.8849E-12,-1.0000E+0,11.9070E-12,-7.0000E+0,-464.7394E-15,-5.7390E+0,-72.0106E-12,-1.5000E+0,10.8896E-12,-7.0000E+0,418.3875E-15,-5.7390E+0,-151.5121E-12,-2.0000E+0,10.3385E-12,-7.0000E+0,2.6892E-12,-5.7390E+0
-24.8737E-12,-500.0000E-3,8.3885E-12,-7.0000E+0,1.9323E-12,-5.6630E+0,-38.7622E-12,-1.0000E+0,9.2363E-12,-7.0000E+0,-254.4631E-15,-5.6630E+0,-76.0930E-12,-1.5000E+0,8.8123E-12,-7.0000E+0,-2.6094E-12,-5.6630E+0,-153.4480E-12,-2.0000E+0,10.6776E-12,-7.0000E+0,1.5117E-12,-5.6630E+0
-25.8838E-12,-500.0000E-3,8.2612E-12,-7.0000E+0,-717.0514E-15,-5.5870E+0,-39.3936E-12,-1.0000E+0,9.9569E-12,-7.0000E+0,-4.5018E-12,-5.5870E+0,-76.8926E-12,-1.5000E+0,9.4483E-12,-7.0000E+0,-7.4876E-12,-5.5870E+0,-153.0692E-12,-2.0000E+0,10.3809E-12,-7.0000E+0,670.6996E-15,-5.5870E+0
-29.3349E-12,-500.0000E-3,6.8623E-12,-7.0000E+0,-2.2730E-12,-5.5110E+0,-38.4676E-12,-1.0000E+0,13.0516E-12,-7.0000E+0,-9.1277E-12,-5.5110E+0,-84.9732E-12,-1.5000E+0,10.7200E-12,-7.0000E+0,-7.2774E-12,-5.5110E+0,-155.9732E-12,-2.0000E+0,10.7200E-12,-7.0000E+0,-3.1982E-12,-5.5110E+0
-23.4848E-12,-500.0000E-3,7.9645E-12,-7.0000E+0,-3.6608E-12,-5.4350E+0,-37.1209E-12,-1.0000E+0,9.5330E-12,-7.0000E+0,-7.4876E-12,-5.4350E+0,-80.1333E-12,-1.5000E+0,9.5330E-12,-7.0000E+0,-9.4642E-12,-5.4350E+0,-151.3016E-12,-2.0000E+0,10.4656E-12,-7.0000E+0,1.9743E-12,-5.4350E+0
-26.0521E-12,-500.0000E-3,8.5580E-12,-7.0000E+0,-4.2075E-12,-5.3585E+0,-38.8885E-12,-1.0000E+0,9.0243E-12,-7.0000E+0,-8.2867E-12,-5.3585E+0,-79.4178E-12,-1.5000E+0,10.9320E-12,-7.0000E+0,-4.5859E-12,-5.3585E+0,-157.5304E-12,-2.0000E+0,9.2786E-12,-7.0000E+0,-5.7214E-12,-5.3585E+0
-29.7978E-12,-500.0000E-3,8.3036E-12,-7.0000E+0,965.0891E-15,-5.2825E+0,-36.4475E-12,-1.0000E+0,10.9320E-12,-7.0000E+0,-2.6515E-12,-5.2825E+0,-76.9347E-12,-1.5000E+0,9.9146E-12,-7.0000E+0,-7.5718E-12,-5.2825E+0,-160.7711E-12,-2.0000E+0,9.9993E-12,-7.0000E+0,2.9836E-12,-5.2825E+0
-25.6733E-12,-500.0000E-3,7.7949E-12,-7.0000E+0,2.8575E-12,-5.2065E+0,-40.6141E-12,-1.0000E+0,9.1091E-12,-7.0000E+0,-801.1786E-15,-5.2065E+0,-82.1534E-12,-1.5000E+0,9.9569E-12,-7.0000E+0,-7.1933E-12,-5.2065E+0,-161.4865E-12,-2.0000E+0,8.1765E-12,-7.0000E+0,166.0616E-15,-5.2065E+0
